start,end,mid,size,startsize,length_size,auto,halfmin,connected
11:08:33,11:08:41,11:08:37,517,513,8,1,0,0
11:09:30,11:10:56,11:10:13,613,570,86,0,1,0
13:09:23,13:10:30,13:09:56,7796,7763,67,1,1,0
13:11:46,13:12:46,13:12:16,7936,7906,60,0,1,0
13:15:40,13:15:49,13:15:44,8144,8140,9,1,0,0
13:17:36,13:18:02,13:17:49,8269,9256,26,0,0,0
13:21:41,13:21:49,13:21:45,8505,8501,8,1,0,0
13:22:06,13:24:20,13:23:13,8593,8526,134,1,1,1
13:24:21,13:26:06,13:25:13,8713,8661,105,0,1,1
13:44:27,13:44:36,13:44:31,9871,9867,9,1,0,0
13:52:50,13:53:32,13:53:11,10391,10370,42,1,1,0
13:57:18,13:58:09,13:57:43,10663,10638,51,1,1,0
14:01:21,14:15:02,14:08:11,11291,10881,821,1,1,0
14:36:16,14:36:24,14:36:20,12980,12976,8,1,0,0
14:37:23,14:37:31,14:37:27,13047,13043,8,1,0,0
14:39:21,14:39:29,14:39:25,13165,13161,8,1,0,0
14:53:02,14:53:18,14:53:10,13990,13982,16,1,0,0
14:53:27,15:02:40,14:58:03,14283,14007,553,1,1,2
15:02:41,15:04:27,15:03:34,14614,14561,106,0,1,2
15:05:47,15:09:13,15:07:30,14850,14747,206,0,1,0
15:09:21,15:12:42,15:11:01,15061,14961,201,0,1,3
15:12:43,15:12:52,15:12:47,15167,15163,9,1,1,3
15:12:53,15:13:57,15:13:25,15205,15173,64,0,1,3
15:59:15,15:59:22,15:59:18,17958,17955,7,1,0,0
