start,end,mid,size,startsize,length_size,auto,halfmin,connected
10:54:38,10:57:50,10:56:14,-226,-322,192,1,1,0
11:42:24,11:47:50,11:45:07,2707,2544,326,1,1,0
12:36:23,12:38:36,12:37:29,5849,5783,133,1,1,0
13:18:53,13:24:53,13:21:53,8513,8333,360,1,1,0
13:46:48,13:49:35,13:48:11,10091,10008,167,1,1,0
13:53:52,13:55:12,13:54:32,10472,10432,80,1,1,0
14:01:26,14:01:42,14:01:34,10894,10886,16,1,0,0
14:02:32,14:03:40,14:03:06,10986,10952,68,1,1,0
14:06:44,14:11:30,14:09:07,11347,11204,286,1,1,0
14:28:40,14:29:32,14:29:06,12546,12520,52,0,1,0
14:29:58,14:30:38,14:30:18,12618,12598,40,1,1,0
14:37:16,14:38:57,14:38:06,13086,13036,101,1,1,0
14:41:06,14:43:54,14:42:30,13350,13266,168,0,1,0
15:00:04,15:03:52,15:01:58,14518,14404,228,1,1,0
